,germination,growth,maturity
19029,281.0178698979592,287.76588010204085,281.1668494897959
19030,278.44086080586084,285.4648168498169,278.99481684981686
19031,280.44845622119817,287.23845622119825,280.8342972350229
19032,280.78248677248683,287.32452910052916,281.0823597883597
19033,277.70323339212234,285.2724514991182,278.54338036449155
19034,278.965985060691,286.2397945845005,279.41836601307193
19035,280.5187456445993,287.8111149825784,281.8038850174216
19036,278.5465982142858,285.4345714285714,278.97051785714285
19037,280.738056206089,287.245737704918,280.87024590163935
19038,281.26537098560357,287.72526024363236,281.52220376522706
19039,276.90273224043716,284.7581576893053,277.9420765027321
19040,281.0448363095239,287.9890773809524,281.69316964285713
19041,278.54184981684983,286.06543956043964,279.4331501831502
19042,280.43052521008417,287.3063025210084,281.14682773109246
19043,281.31033189033195,288.21102453102463,282.0201010101009
19044,279.9894458128079,287.01661330049257,280.4686206896552
19045,280.42902255639103,287.2826691729324,280.96973684210525
19046,280.8701731601732,287.8857142857143,281.51373737373746
19047,279.93812698412705,286.57832804232805,280.2195767195767
19048,287.2877510608205,294.4097312588402,283.8230410183876
19049,287.9267647058824,294.8729271708684,284.620350140056
19050,287.7307142857144,294.73187074829934,284.4247278911564
19051,286.62544973544965,293.79441798941804,283.72539682539684
19052,287.7806813186814,294.86986813186815,284.5074065934066
19053,287.071994047619,294.27656250000007,283.8098660714286
19054,288.4086688311688,295.0152164502164,284.80016233766236
19055,288.19531746031737,295.0252063492063,284.8916349206349
19056,286.21253182461106,293.59495049504955,283.02639321074963
19057,283.30014985014986,293.18786213786217,281.19479520479524
19058,286.3873809523809,293.77159863945576,283.5776870748299
19059,284.3499285714285,293.2548809523809,281.788380952381
19060,281.3152083333333,291.6424107142857,279.3361011904761
19061,283.1209226190476,292.91255952380953,280.8832142857143
19062,282.26710317460316,292.5047023809523,279.8400595238095
19063,284.08326007326013,293.50516483516486,281.87794871794875
19064,281.4253310104529,291.290331010453,278.2959756097561
19065,283.07377551020414,292.7755102040816,280.7744642857143
19066,283.2723809523809,292.86929971988786,280.99916900093376
19067,283.7301403061225,292.7415816326531,280.8954974489796
19068,284.4026285714285,292.99011428571436,281.8106476190476
19069,284.73505357142864,293.0114285714285,282.0448214285714
19070,284.5898278829605,293.43805507745253,282.3594664371772
19071,284.25937282229967,293.2098257839721,281.9448083623693
19072,282.56416742493184,293.44379435850766,281.56171064604183
19073,284.9521126760563,293.30738430583506,282.0848490945673
19074,284.37950649350637,293.06857142857143,281.77737662337654
